Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[sex]	Characteristics[genotype]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[sampling site]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[developmental stage]	Factor Value[sampling site]
E11.5 2.5 D	ERS4932187	SAMEA7171743	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 D	sequencing assay	ERX4377235	E11-5-2-5D_S2_L001_R1_001.fastq.gz	E11-5-2-5D_S2_L001_R1_001.fastq.gz	ERR4436696	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436696/ERR4436696_1.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 2.5 D	ERS4932187	SAMEA7171743	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 D	sequencing assay	ERX4377235	E11-5-2-5D_S2_L001_R2_001.fastq.gz	E11-5-2-5D_S2_L001_R2_001.fastq.gz	ERR4436696	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436696/ERR4436696_2.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 2.5 D	ERS4932187	SAMEA7171743	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 D	sequencing assay	ERX4377235	E11-5-2-5D_S2_L002_R1_001.fastq.gz	E11-5-2-5D_S2_L002_R1_001.fastq.gz	ERR4436697	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436697/ERR4436697_1.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 2.5 D	ERS4932187	SAMEA7171743	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 D	sequencing assay	ERX4377235	E11-5-2-5D_S2_L002_R2_001.fastq.gz	E11-5-2-5D_S2_L002_R2_001.fastq.gz	ERR4436697	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436697/ERR4436697_2.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 2.5 D	ERS4932187	SAMEA7171743	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 D	sequencing assay	ERX4377235	E11-5-2-5D_S2_L003_R1_001.fastq.gz	E11-5-2-5D_S2_L003_R1_001.fastq.gz	ERR4436698	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/008/ERR4436698/ERR4436698_1.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 2.5 D	ERS4932187	SAMEA7171743	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 D	sequencing assay	ERX4377235	E11-5-2-5D_S2_L003_R2_001.fastq.gz	E11-5-2-5D_S2_L003_R2_001.fastq.gz	ERR4436698	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/008/ERR4436698/ERR4436698_2.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 2.5 D	ERS4932187	SAMEA7171743	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 D	sequencing assay	ERX4377235	E11-5-2-5D_S2_L004_R1_001.fastq.gz	E11-5-2-5D_S2_L004_R1_001.fastq.gz	ERR4436699	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436699/ERR4436699_1.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 2.5 D	ERS4932187	SAMEA7171743	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 D	sequencing assay	ERX4377235	E11-5-2-5D_S2_L004_R2_001.fastq.gz	E11-5-2-5D_S2_L004_R2_001.fastq.gz	ERR4436699	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436699/ERR4436699_2.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 2.5 V	ERS4932188	SAMEA7171744	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 V	sequencing assay	ERX4377236	E11-5-2-5V_S1_L001_R1_001.fastq.gz	E11-5-2-5V_S1_L001_R1_001.fastq.gz	ERR4436700	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/000/ERR4436700/ERR4436700_1.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 2.5 V	ERS4932188	SAMEA7171744	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 V	sequencing assay	ERX4377236	E11-5-2-5V_S1_L001_R2_001.fastq.gz	E11-5-2-5V_S1_L001_R2_001.fastq.gz	ERR4436700	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/000/ERR4436700/ERR4436700_2.fastq.gz	embryonic day 11.5	optic fissure margins
